Time,Pleth
01:52.9,-108
01:52.9,-112
01:53.0,-118
01:53.0,-120
01:53.0,-121
01:53.0,-117
01:53.0,-112
01:53.0,-105
01:53.0,-100
01:53.1,-95
01:53.1,-91
01:53.1,-87
01:53.1,-81
01:53.2,-78
01:53.2,-74
01:53.2,-72
01:53.2,-72
01:53.2,-70
01:53.2,-67
01:53.3,-66
01:53.3,-72
01:53.3,-98
01:53.3,-141
01:53.4,-182
01:53.4,-211
01:53.4,-228
01:53.4,-231
01:53.4,-225
01:53.4,-217
01:53.5,-204
01:53.5,-189
01:53.5,-174
01:53.5,-161
01:53.6,-149
01:53.6,-136
01:53.6,-123
01:53.6,-112
01:53.6,-106
01:53.6,-106
01:53.7,-109
01:53.7,-113
01:53.7,-118
01:53.7,-119
01:53.8,-118
01:53.8,-112
01:53.8,-106
01:53.8,-99
01:53.8,-91
01:53.8,-83
01:53.9,-77
01:53.9,-74
01:53.9,-71
01:54.0,-70
01:54.0,-69
01:54.0,-71
01:54.0,-68
01:54.0,-68
01:54.0,-65
01:54.1,-66
01:54.1,-67
01:54.1,-79
01:54.1,-115
01:54.1,-159
01:54.1,-196
01:54.2,-222
01:54.2,-237
01:54.2,-238
01:54.2,-230
01:54.3,-214
01:54.3,-197
01:54.3,-180
01:54.3,-165
01:54.3,-156
01:54.3,-145
01:54.4,-134
01:54.4,-124
01:54.4,-116
01:54.4,-114
01:54.4,-116
01:54.5,-119
01:54.5,-120
01:54.5,-118
01:54.5,-112
01:54.5,-103
01:54.6,-94
01:54.6,-85
01:54.6,-80
01:54.6,-75
01:54.6,-71
01:54.7,-68
01:54.7,-67
01:54.7,-66
01:54.7,-68
01:54.8,-72
01:54.8,-72
01:54.8,-72
01:54.8,-70
01:54.8,-69
01:54.9,-68
01:54.9,-76
01:54.9,-107
01:54.9,-146
01:54.9,-181
01:55.0,-205
01:55.0,-214
01:55.0,-211
01:55.0,-198
01:55.0,-182
01:55.0,-165
01:55.1,-153
01:55.1,-141
01:55.1,-130
01:55.1,-120
01:55.2,-111
01:55.2,-103
01:55.2,-96
01:55.2,-96
01:55.2,-101
01:55.2,-107
01:55.3,-111
01:55.3,-112
01:55.3,-108
01:55.3,-102
01:55.4,-95
01:55.4,-88
01:55.4,-83
01:55.4,-80
01:55.4,-77
01:55.4,-73
01:55.5,-70
01:55.5,-69
01:55.5,-66
01:55.5,-65
01:55.6,-66
01:55.6,-68
01:55.6,-72
01:55.6,-73
01:55.6,-71
01:55.6,-69
01:55.7,-69
01:55.7,-91
01:55.7,-135
01:55.7,-173
01:55.7,-201
01:55.7,-216
01:55.8,-223
01:55.8,-221
01:55.8,-213
01:55.8,-204
01:55.9,-193
01:55.9,-181
01:55.9,-168
01:55.9,-154
01:55.9,-139
01:56.0,-125
01:56.0,-117
01:56.0,-115
01:56.0,-117
01:56.0,-122
01:56.1,-126
01:56.1,-128
01:56.1,-129
01:56.1,-129
01:56.2,-125
01:56.2,-121
01:56.2,-117
01:56.2,-113
01:56.2,-109
01:56.2,-108
01:56.3,-106
01:56.3,-104
01:56.3,-101
01:56.3,-101
01:56.4,-100
01:56.4,-98
01:56.4,-98
01:56.4,-97
01:56.4,-99
01:56.4,-111
01:56.5,-141
01:56.5,-180
01:56.5,-212
01:56.5,-236
01:56.6,-249
01:56.6,-251
01:56.6,-248
01:56.6,-242
01:56.6,-234
01:56.7,-225
01:56.7,-213
01:56.7,-203
01:56.7,-191
01:56.7,-181
01:56.7,-167
01:56.8,-157
01:56.8,-151
01:56.8,-147
01:56.8,-147
01:56.9,-150
01:56.9,-152
01:56.9,-153
01:56.9,-147
01:56.9,-139
01:56.9,-132
01:57.0,-123
01:57.0,-118
